runNum, eventNum, m1_pt, m1_eta, m1_phi, m1_m, m2_pt, m2_eta, m2_phi, m2_m, 4_vector_m1, 4_vector_m2, invariant_mass
144576,11,230.228,-0.151049,2.1517,0.1,253.526,0.174222,-0.948864,0.1,[7.767354740171326e-07 -126.34443016498588 192.46302748913882 -34.90809938443173],[8.585387354547807e-07 147.70595990161573 -206.05431828899458 44.39359607761002],489.4967451053156
144576,19,285.323,0.0199685,1.1208,0.1,261.952,-0.477602,-2.02133,0.1,[9.519248959851899e-07 124.10472737488597 256.918724448424 5.697850969010354],[9.75342625956836e-07 -114.06595495059987 -235.81307899522392 -129.91963712901324],563.7843207114448
144576,22,223.533,0.532855,2.83822,0.1,208.851,-0.697446,-0.278795,0.1,[8.540087932800456e-07 -213.32522480909643 66.77836887157746 124.82784523067227],[8.730691381970941e-07 200.78679277653336 -57.47524725926334 -157.76196670794712],516.4805074332769
144576,25,221.391,-0.462465,-0.413637,0.1,213.299,-0.134878,2.77707,0.1,[8.188693953946608e-07 202.71999403598252 -88.98639726975809 -106.07441631284567],[7.179705035229754e-07 -199.28398512009397 76.04180873476226 -28.856650905793405],440.32845224400836
144578,5,321.309,0.441535,-2.92557,0.1,237.874,0.205917,0.222945,0.1,[1.1779524604330334e-06 -313.84104074843884 -68.87143546447085 146.52395203433872],[8.103439674903502e-07 231.98674505639167 52.59458141425526 49.32919145568273],556.7615361593655
144578,7,196.22,0.421943,2.19186,0.1,209.937,-0.610771,-1.03101,0.1,[7.136530948410012e-07 -114.18052246534342 159.57787030018042 85.27232458910527],[8.350013828286001e-07 107.89769019573424 -180.08784639565593 -136.34555926878843],460.958354412937
144578,9,263.079,0.223331,-2.97389,0.1,232.965,0.21351,0.0316774,0.1,[8.995126017705881e-07 -259.388221609087 -43.91253501535946 59.24332269835381],[7.948674133875446e-07 232.8481245156562 7.378491345896905 50.11913444211509],493.99037278878745
144624,3,214.424,-0.79131,2.02384,0.1,240.574,-0.333426,-1.16082,0.1,[9.51105075616519e-07 -93.85428148911811 192.79270116412962 -187.94629398471218],[8.474897115126406e-07 95.88981729598925 -220.63769490941888 -81.70817358359949],466.0999647871736
144624,9,262.597,0.41708,-1.35188,0.1,244.352,-0.21439,1.79467,0.1,[9.53226671399989e-07 57.02870025180037 -256.3296934742253 112.72707683857011],[8.33874034297743e-07 -54.24816824224183 238.25414192907837 -52.78885693069],532.0817555709457
144628,5,261.949,0.395806,-2.7899,0.1,221.334,-0.90655,0.340378,0.1,[9.431093672287488e-07 -245.91535324205861 -90.23811634134186 106.40942244263675],[1.0630212469409664e-06 208.6357452852507 73.8909016406485 -229.28554099088288],587.3277422368427
144628,11,212.982,0.444382,1.43135,0.1,217.498,-0.0168898,-1.70457,0.1,[7.817398828056333e-07 29.603398420604723 210.91460624136712 97.79129048743597],[7.255987942292046e-07 -29.00880472281898 -215.5547940839019 -3.673672376489655],441.95412300508286
144673,1,307.34,0.208907,-2.69949,0.1,244.225,-0.337399,0.323752,0.1,[1.0476278516351755e-06 -277.7905070195368 -131.49262264411894 64.67350818820898],[8.614574500112835e-07 231.5371414179624 77.69429045302162 -83.97359413893425],567.5868091514036
144673,3,222.426,-0.0878731,-3.03981,0.1,202.627,0.0517853,0.187866,0.1,[7.447996790705331e-07 -221.27486003513363 -22.6000396555409 -19.57042556934543],[6.76797478109944e-07 199.0617827356524 37.84319995856493 10.49779053327802],425.2349994919023
144673,5,304.696,0.147634,1.00657,0.1,255.152,0.0823065,-2.16597,0.1,[1.0274527920444597e-06 162.93990946583773 257.46890748062106 45.147075944608716],[8.539799666234305e-07 -143.0516253696229 -211.2789047281083 21.024387134752047],557.8823057517179
144673,10,292.173,0.589584,-1.29046,0.1,220.22,0.205649,1.97553,0.1,[1.1489354627648572e-06 80.83809303704169 -280.76727844094404 182.41531703295493],[7.50162885425912e-07 -86.71690252917817 202.427832117387 45.60791495458576],515.7291252244075
144673,12,242.534,-0.0106635,1.07797,0.1,178.803,0.478339,-1.95824,0.1,[8.090524079958457e-07 114.74714429393572 213.67225845295567 -2.5863103233410216],[6.65966873802429e-07 -67.55585111997796 -165.5497501914617 88.82756790377415],428.43924584731616
144673,14,227.236,-0.208598,-0.194544,0.1,206.451,0.562603,2.94045,0.1,[7.74528653460458e-07 222.9494030735003 -43.929071981660364 -47.74548457266641],[8.005376027560625e-07 -202.28872649380628 41.246654828168055 122.37499636552518],465.7924340605704
144673,15,211.59,-0.915022,-0.141929,0.1,180.828,0.43281,3.03134,0.1,[1.0224536390427324e-06 209.46245734379352 -29.93003614263575 -221.78042478954237],[6.60559738899566e-07 -179.73007212074475 19.896400666248404 80.73062100247671],483.42085924242866
144673,21,279.543,0.110165,-2.77321,0.1,212.524,-0.124168,0.709257,0.1,[9.381191528075308e-07 -260.7887350260904 -100.66540881798282 30.85818383347185],[7.143756903957158e-07 161.27298286466447 138.41053274203392 -26.45654108174254],483.8172657348063
144673,32,256.912,0.74198,1.98929,0.1,215.371,0.377122,-1.13418,0.1,[1.1038837961696872e-06 -104.4050753799667 234.74104025266536 208.60219216626302],[7.700945410518643e-07 91.07515131623713 -195.1665556741844 83.16010447112868],478.2837156171492
